SepalL: 5.100000 , SepalW: 3.500000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.900000 , SepalW: 3.000000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.700000 , SepalW: 3.200000 ,PetalL: 1.300000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.600000 , SepalW: 3.100000 ,PetalL: 1.500000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.600000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.400000 , SepalW: 3.900000 ,PetalL: 1.700000 ,PetalW: 0.400000 ,Species: 1
SepalL: 4.600000 , SepalW: 3.400000 ,PetalL: 1.400000 ,PetalW: 0.300000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.400000 ,PetalL: 1.500000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.400000 , SepalW: 2.900000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.900000 , SepalW: 3.100000 ,PetalL: 1.500000 ,PetalW: 0.100000 ,Species: 1
SepalL: 5.400000 , SepalW: 3.700000 ,PetalL: 1.500000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.800000 , SepalW: 3.400000 ,PetalL: 1.600000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.800000 , SepalW: 3.000000 ,PetalL: 1.400000 ,PetalW: 0.100000 ,Species: 1
SepalL: 4.300000 , SepalW: 3.000000 ,PetalL: 1.100000 ,PetalW: 0.100000 ,Species: 1
SepalL: 5.800000 , SepalW: 4.000000 ,PetalL: 1.200000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.700000 , SepalW: 4.400000 ,PetalL: 1.500000 ,PetalW: 0.400000 ,Species: 1
SepalL: 5.400000 , SepalW: 3.900000 ,PetalL: 1.300000 ,PetalW: 0.400000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.500000 ,PetalL: 1.400000 ,PetalW: 0.300000 ,Species: 1
SepalL: 5.700000 , SepalW: 3.800000 ,PetalL: 1.700000 ,PetalW: 0.300000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.800000 ,PetalL: 1.500000 ,PetalW: 0.300000 ,Species: 1
SepalL: 5.400000 , SepalW: 3.400000 ,PetalL: 1.700000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.700000 ,PetalL: 1.500000 ,PetalW: 0.400000 ,Species: 1
SepalL: 4.600000 , SepalW: 3.600000 ,PetalL: 1.000000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.300000 ,PetalL: 1.700000 ,PetalW: 0.500000 ,Species: 1
SepalL: 4.800000 , SepalW: 3.400000 ,PetalL: 1.900000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.000000 ,PetalL: 1.600000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.400000 ,PetalL: 1.600000 ,PetalW: 0.400000 ,Species: 1
SepalL: 5.200000 , SepalW: 3.500000 ,PetalL: 1.500000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.200000 , SepalW: 3.400000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.700000 , SepalW: 3.200000 ,PetalL: 1.600000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.800000 , SepalW: 3.100000 ,PetalL: 1.600000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.400000 , SepalW: 3.400000 ,PetalL: 1.500000 ,PetalW: 0.400000 ,Species: 1
SepalL: 5.200000 , SepalW: 4.100000 ,PetalL: 1.500000 ,PetalW: 0.100000 ,Species: 1
SepalL: 5.500000 , SepalW: 4.200000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.900000 , SepalW: 3.100000 ,PetalL: 1.500000 ,PetalW: 0.100000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.200000 ,PetalL: 1.200000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.500000 , SepalW: 3.500000 ,PetalL: 1.300000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.900000 , SepalW: 3.100000 ,PetalL: 1.500000 ,PetalW: 0.100000 ,Species: 1
SepalL: 4.400000 , SepalW: 3.000000 ,PetalL: 1.300000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.400000 ,PetalL: 1.500000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.500000 ,PetalL: 1.300000 ,PetalW: 0.300000 ,Species: 1
SepalL: 4.500000 , SepalW: 2.300000 ,PetalL: 1.300000 ,PetalW: 0.300000 ,Species: 1
SepalL: 4.400000 , SepalW: 3.200000 ,PetalL: 1.300000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.500000 ,PetalL: 1.600000 ,PetalW: 0.600000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.800000 ,PetalL: 1.900000 ,PetalW: 0.400000 ,Species: 1
SepalL: 4.800000 , SepalW: 3.000000 ,PetalL: 1.400000 ,PetalW: 0.300000 ,Species: 1
SepalL: 5.100000 , SepalW: 3.800000 ,PetalL: 1.600000 ,PetalW: 0.200000 ,Species: 1
SepalL: 4.600000 , SepalW: 3.200000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.300000 , SepalW: 3.700000 ,PetalL: 1.500000 ,PetalW: 0.200000 ,Species: 1
SepalL: 5.000000 , SepalW: 3.300000 ,PetalL: 1.400000 ,PetalW: 0.200000 ,Species: 1
SepalL: 7.000000 , SepalW: 3.200000 ,PetalL: 4.700000 ,PetalW: 1.400000 ,Species: 2
SepalL: 6.400000 , SepalW: 3.200000 ,PetalL: 4.500000 ,PetalW: 1.500000 ,Species: 2
SepalL: 6.900000 , SepalW: 3.100000 ,PetalL: 4.900000 ,PetalW: 1.500000 ,Species: 2
SepalL: 5.500000 , SepalW: 2.300000 ,PetalL: 4.000000 ,PetalW: 1.300000 ,Species: 2
SepalL: 6.500000 , SepalW: 2.800000 ,PetalL: 4.600000 ,PetalW: 1.500000 ,Species: 2
SepalL: 5.700000 , SepalW: 2.800000 ,PetalL: 4.500000 ,PetalW: 1.300000 ,Species: 2
SepalL: 6.300000 , SepalW: 3.300000 ,PetalL: 4.700000 ,PetalW: 1.600000 ,Species: 2
SepalL: 4.900000 , SepalW: 2.400000 ,PetalL: 3.300000 ,PetalW: 1.000000 ,Species: 2
SepalL: 6.600000 , SepalW: 2.900000 ,PetalL: 4.600000 ,PetalW: 1.300000 ,Species: 2
SepalL: 5.200000 , SepalW: 2.700000 ,PetalL: 3.900000 ,PetalW: 1.400000 ,Species: 2
SepalL: 5.000000 , SepalW: 2.000000 ,PetalL: 3.500000 ,PetalW: 1.000000 ,Species: 2
SepalL: 5.900000 , SepalW: 3.000000 ,PetalL: 4.200000 ,PetalW: 1.500000 ,Species: 2
SepalL: 6.000000 , SepalW: 2.200000 ,PetalL: 4.000000 ,PetalW: 1.000000 ,Species: 2
SepalL: 6.100000 , SepalW: 2.900000 ,PetalL: 4.700000 ,PetalW: 1.400000 ,Species: 2
SepalL: 5.600000 , SepalW: 2.900000 ,PetalL: 3.600000 ,PetalW: 1.300000 ,Species: 2
SepalL: 6.700000 , SepalW: 3.100000 ,PetalL: 4.400000 ,PetalW: 1.400000 ,Species: 2
SepalL: 5.600000 , SepalW: 3.000000 ,PetalL: 4.500000 ,PetalW: 1.500000 ,Species: 2
SepalL: 5.800000 , SepalW: 2.700000 ,PetalL: 4.100000 ,PetalW: 1.000000 ,Species: 2
SepalL: 6.200000 , SepalW: 2.200000 ,PetalL: 4.500000 ,PetalW: 1.500000 ,Species: 2
SepalL: 5.600000 , SepalW: 2.500000 ,PetalL: 3.900000 ,PetalW: 1.100000 ,Species: 2
SepalL: 5.900000 , SepalW: 3.200000 ,PetalL: 4.800000 ,PetalW: 1.800000 ,Species: 2
SepalL: 6.100000 , SepalW: 2.800000 ,PetalL: 4.000000 ,PetalW: 1.300000 ,Species: 2
SepalL: 6.300000 , SepalW: 2.500000 ,PetalL: 4.900000 ,PetalW: 1.500000 ,Species: 2
SepalL: 6.100000 , SepalW: 2.800000 ,PetalL: 4.700000 ,PetalW: 1.200000 ,Species: 2
SepalL: 6.400000 , SepalW: 2.900000 ,PetalL: 4.300000 ,PetalW: 1.300000 ,Species: 2
SepalL: 6.600000 , SepalW: 3.000000 ,PetalL: 4.400000 ,PetalW: 1.400000 ,Species: 2
SepalL: 6.800000 , SepalW: 2.800000 ,PetalL: 4.800000 ,PetalW: 1.400000 ,Species: 2
SepalL: 6.700000 , SepalW: 3.000000 ,PetalL: 5.000000 ,PetalW: 1.700000 ,Species: 2
SepalL: 6.000000 , SepalW: 2.900000 ,PetalL: 4.500000 ,PetalW: 1.500000 ,Species: 2
SepalL: 5.700000 , SepalW: 2.600000 ,PetalL: 3.500000 ,PetalW: 1.000000 ,Species: 2
SepalL: 5.500000 , SepalW: 2.400000 ,PetalL: 3.800000 ,PetalW: 1.100000 ,Species: 2
SepalL: 5.500000 , SepalW: 2.400000 ,PetalL: 3.700000 ,PetalW: 1.000000 ,Species: 2
SepalL: 5.800000 , SepalW: 2.700000 ,PetalL: 3.900000 ,PetalW: 1.200000 ,Species: 2
